country,development_index,life_expect,life_exp60,basic_water,gdp_per_capita,eco_footprint,pf_rol,ef_legal,adult_mortality,infant_mort,age1-4mort,happiness_score
Kyrgyz Republic,0.65,71.40205,18.02906,87.42696,1116.37,1.91,3.807027642,4.259098098,162.3368,0.01839,0.00057,5.185
Lithuania,0.83,75.04082,20.68216,97.07375,14373.7,5.83,6.79590086,6.499517474,154.5404,0.00439,0.0002549999999999,5.813
Luxembourg,0.89,82.39915,24.69354,99.90687,114665.0,15.82,7.897751196,8.350836767,55.5008,0.00337,0.000105,6.871
Greece,0.86,81.16033,23.86235,100.0,25987.4,4.38,5.789790663,5.778509815,66.41975,0.003095,0.00013,5.033
Croatia,0.82,78.29281999999999,21.46525,99.58675,14522.8,3.92,5.700537868,5.479351478,87.5144,0.003355,0.0002399999999999,5.488
Hungary,0.82,75.97804000000001,20.11714,99.97081,13964.2,2.92,5.439017665,5.919262708,125.8381,0.004415,0.0001899999999999,5.145
Ireland,0.91,81.53663,24.09103,97.38348,52853.6,5.57,7.614721658,7.720957247,62.38533,0.00248,0.000105,6.907
Israel,0.89,82.29099000000001,24.74195,100.0,33718.9,6.22,6.790677923,6.158069038,57.98429,0.00295,0.000175,7.267
Spain,0.87,83.07911999999999,25.38623,99.92651,32008.7,3.67,7.01186382,6.803471355,55.787780000000005,0.00251,0.00013,6.361
Estonia,0.85,77.76205999999999,22.23481,99.71165,17304.4,6.86,7.801085558,7.441601876,118.5542,0.00276,0.000245,5.517
Finland,0.88,81.44721,24.23781,100.0,50960.2,5.87,8.639248324,8.79818106,70.18185,0.00179,0.00011,7.413
France,0.89,82.94601999999999,25.91816,100.0,45430.3,5.14,6.771264767,6.922031615,70.98227,0.0030399999999999,0.000145,6.478
United Kingdom,0.9,81.4325,24.24861,100.0,40980.5,4.94,7.716556989,7.849331943,66.6791,0.003635,0.000195,6.725
Georgia,0.75,72.58357,18.33282,98.17055,3710.7,1.58,5.385816218,6.314021643,159.9033,0.009925,0.000315,4.252
Czech Republic,0.87,79.16503,22.11254,99.88017,21676.3,5.19,7.786692219,6.304648234,81.13068,0.002275,0.000135,6.596
Germany,0.91,81.00278,23.64112,100.0,46822.4,5.3,8.303209527,7.438694666,68.68589,0.002545,0.000135,6.994
Denmark,0.92,81.24531,23.78518,100.0,61413.6,5.51,8.687100828,8.077531163,65.03622,0.003185,0.000125,7.526
Bulgaria,0.78,74.84309,19.76121,99.14818,7615.28,3.32,4.891372196,4.831211352,135.3411,0.00756,0.00036,4.217
Bosnia and Herzegovina,0.73,77.28514,20.66318,96.15126,4708.85,3.12,5.470080395,4.134907779,92.02609,0.00583,0.0002,5.163
Belarus,0.8,74.15955,19.58284,96.47418,6300.45,5.09,5.128924941,5.525957318,160.5829,0.00286,0.000245,5.802
Switzerland,0.93,83.26371,25.45412,100.0,88506.2,5.79,8.249290426,8.497326383,49.20185,0.00356,0.00011,7.509
Cyprus,0.85,80.70889,22.83687,99.6132,31454.7,4.21,6.327701936,5.937152237,55.41083,0.002125,0.0001149999999999,5.546
Bangladesh,0.56,72.65925,19.64039,96.88253,857.5,0.72,3.132892486,3.234259181,130.232,0.0283649999999999,0.00155,4.643
Bhutan,0.59,70.56942,20.66238,97.20763,2395.0,4.84,5.925574544,6.871067334,206.9694,0.028375,0.001455,5.196
Indonesia,0.68,69.30530999999999,16.6579,88.65653,3688.53,1.58,4.077098305,4.883138286,175.6083,0.0217,0.00107,5.314
India,0.6,68.82571999999999,18.01512,91.85928,1513.85,1.16,4.320439849,5.156629041,178.0385,0.03682,0.002235,4.404
Sri Lanka,0.75,75.33485,20.80904,88.83598,2880.03,1.32,4.518644917,4.926880553,131.4098,0.00834,0.00036,4.415
Myanmar,0.53,66.80213,16.85373,80.84425999999999,1117.58,1.43,2.976381536,3.545876002,194.9528,0.040935,0.00284,4.395
Nepal,0.54,70.20618,17.60933,88.34640999999999,700.07,0.98,4.300731416,4.608534674,150.6497,0.029875,0.0016,4.793
Thailand,0.72,75.47385,22.08884,99.3738,5479.29,2.66,4.286364947,4.741393669,147.4164,0.010455,0.000415,6.474
Australia,0.93,82.90018,25.61238,99.96997,66604.2,9.31,7.77627878,7.919018594,60.725280000000005,0.003385,0.000165,7.313
China,0.72,76.38920999999999,19.85725,92.30405,5560.94,3.38,4.704818051,5.650259343,80.35584,0.0084149999999999,0.00035,5.245
Vietnam,0.66,76.33917,22.68693,93.99012,1532.31,1.65,4.91207109,5.060821486,124.7509,0.017595,0.00108,5.061
Philippines,0.66,69.3147,17.58233,93.07372,2379.44,1.1,3.436584998,4.27826495,193.8597,0.021765,0.00144,5.279
Singapore,0.91,82.94685,25.03369,100.0,53122.4,7.97,7.683405599,8.22709857,51.36488,0.002085,0.00014,6.739
Mongolia,0.71,69.80354,17.27222,82.80058000000001,3736.07,6.08,5.251542395,5.554938942,210.7092,0.0148449999999999,0.000615,4.907
Malaysia,0.77,75.27525,19.93296,96.72462,10252.6,3.71,5.42152405,5.760370476,122.8846,0.00691,0.000295,6.005
New Zealand,0.91,82.24739,25.29202,100.0,37488.3,5.6,7.868546129,8.715280315,66.05728,0.003975,0.000235,7.334
Japan,0.89,84.16615999999999,26.39402,98.97,46201.6,5.02,7.643490079,7.586986576,50.82619,0.00198,0.000195,5.921
Cambodia,0.55,69.36723,17.3671,76.94537,877.64,1.21,2.566741147,4.277906502,170.497,0.0276,0.0011099999999999,3.907
South Korea,0.89,82.66409,25.26966,99.6754,24155.8,5.69,7.438182909,6.391153586,60.81405,0.002955,0.000125,5.835
Laos,0.56,65.79089,16.83024,79.9419,1236.24,1.22,3.953482175,5.93720088,192.7939,0.051895,0.00399,4.876
